Physician,Date,NewPrescription,Samples,Details,CompetitorNew,MedicalCPI,DRG,Psych
1,1,10,0,0,11,245.2,389.85,1
2,1,11,0,2,2,245.2,389.85,0
3,1,11,0,1,38,245.2,389.85,0
4,1,10,0,0,15,245.2,389.85,0
5,1,11,0,2,2,245.2,389.85,0
6,1,11,0,1,6,245.2,389.85,0
7,1,12,20,1,6,245.2,389.85,0
8,1,11,0,2,5,245.2,389.85,0
9,1,10,0,0,0,245.2,389.85,0
10,1,10,0,0,16,245.2,389.85,0
11,1,10,0,0,6,245.2,389.85,0
12,1,10,0,0,8,245.2,389.85,0
13,1,10,0,0,11,245.2,389.85,0
14,1,10,0,0,18,245.2,389.85,0
15,1,10,0,0,11,245.2,389.85,0
16,1,12,9,2,28,245.2,389.85,0
17,1,10,0,0,18,245.2,389.85,0
18,1,12,18,0,8,245.2,389.85,0
19,1,12,11,2,48,245.2,389.85,0
20,1,11,0,2,15,245.2,389.85,0
21,1,10,0,0,13,245.2,389.85,0
22,1,11,0,3,16,245.2,389.85,0
23,1,13,15,3,1,245.2,389.85,0
24,1,11,0,2,16,245.2,389.85,0
25,1,10,0,0,6,245.2,389.85,0
26,1,10,0,0,26,245.2,389.85,0
27,1,11,0,2,20,245.2,389.85,0
28,1,10,0,0,12,245.2,389.85,0
29,1,11,0,1,23,245.2,389.85,0
30,1,11,0,1,8,245.2,389.85,0
31,1,11,0,1,29,245.2,389.85,0
32,1,11,0,2,0,245.2,389.85,0
33,1,10,0,0,4,245.2,389.85,0
34,1,11,5,2,7,245.2,389.85,0
35,1,11,0,2,13,245.2,389.85,0
36,1,10,0,0,23,245.2,389.85,0
37,1,11,0,2,16,245.2,389.85,0
38,1,11,0,2,10,245.2,389.85,0
39,1,11,0,1,10,245.2,389.85,0
40,1,11,0,1,4,245.2,389.85,0
41,1,12,13,1,10,245.2,389.85,0
42,1,10,0,0,1,245.2,389.85,0
43,1,11,0,1,8,245.2,389.85,0
44,1,11,0,1,19,245.2,389.85,0
45,1,10,0,0,7,245.2,389.85,0
46,1,11,0,2,35,245.2,389.85,0
47,1,10,0,0,34,245.2,389.85,0
48,1,11,6,2,30,245.2,389.85,0
49,1,12,3,3,23,245.2,389.85,0
50,1,10,0,0,18,245.2,389.85,0
51,1,11,0,2,12,245.2,389.85,0
52,1,10,0,0,10,245.2,389.85,0
53,1,11,0,2,8,245.2,389.85,0
54,1,10,0,0,15,245.2,389.85,0
55,1,11,6,2,12,245.2,389.85,0
56,1,11,0,1,11,245.2,389.85,0
57,1,11,0,1,11,245.2,389.85,0
58,1,12,0,4,42,245.2,389.85,0
59,1,11,0,2,23,245.2,389.85,0
60,1,11,0,2,21,245.2,389.85,0
