id,call,name,gender,ethnicity,quality,city,jobs,experience,honors,volunteer,military,holes,school,email,computer,special,college,minimum,equal,wanted,requirements,reqexp,reqcomm,reqeduc,reqcomp,reqorg,industry
1,0,Allison,female,cauc,low,chicago,2,6,no,no,no,yes,no,no,yes,no,yes,5,yes,supervisor,yes,yes,no,no,yes,no,manufacturing
2,0,Kristen,female,cauc,high,chicago,3,6,no,yes,yes,no,yes,yes,yes,no,no,5,yes,supervisor,yes,yes,no,no,yes,no,manufacturing
3,0,Lakisha,female,afam,low,chicago,1,6,no,no,no,no,yes,no,yes,no,yes,5,yes,supervisor,yes,yes,no,no,yes,no,manufacturing
4,0,Latonya,female,afam,high,chicago,4,6,no,yes,no,yes,no,yes,yes,yes,no,5,yes,supervisor,yes,yes,no,no,yes,no,manufacturing
5,0,Carrie,female,cauc,high,chicago,3,22,no,no,no,no,yes,yes,yes,no,no,some,yes,secretary,yes,yes,no,no,yes,yes,health/education/social services
6,0,Jay,male,cauc,low,chicago,2,6,yes,no,no,no,no,no,no,yes,yes,none,yes,other,no,no,no,no,no,no,trade
7,0,Jill,female,cauc,high,chicago,2,5,no,yes,no,no,yes,yes,yes,yes,yes,none,yes,other,no,no,no,no,no,no,trade
8,0,Kenya,female,afam,high,chicago,4,21,no,yes,no,yes,no,yes,yes,yes,no,some,yes,secretary,yes,yes,no,no,yes,yes,health/education/social services
9,0,Latonya,female,afam,low,chicago,3,3,no,no,no,no,no,no,yes,yes,yes,none,yes,other,no,no,no,no,no,no,trade
10,0,Tyrone,male,afam,high,chicago,2,6,no,yes,no,no,yes,yes,no,yes,yes,none,yes,other,no,no,no,no,no,no,trade
11,0,Aisha,female,afam,high,chicago,4,8,no,yes,no,yes,no,yes,yes,yes,yes,some,yes,secretary,yes,yes,no,no,yes,no,health/education/social services
12,0,Allison,female,cauc,high,chicago,4,8,no,no,no,no,yes,yes,yes,no,yes,some,yes,secretary,yes,yes,no,no,yes,no,health/education/social services
13,0,Aisha,female,afam,low,chicago,4,4,no,no,no,yes,no,no,yes,yes,yes,none,yes,secretary,yes,no,yes,no,yes,yes,business/personal services
14,0,Carrie,female,cauc,low,chicago,2,4,no,no,no,no,yes,no,yes,no,yes,none,yes,secretary,yes,no,yes,no,yes,yes,business/personal services
15,0,Aisha,female,afam,high,chicago,2,5,no,yes,no,no,no,yes,no,yes,yes,none,yes,other,no,no,no,no,no,no,trade
16,0,Geoffrey,male,cauc,low,chicago,3,4,no,no,no,no,no,no,yes,yes,no,none,yes,other,no,no,no,no,no,no,trade
17,0,Matthew,male,cauc,high,chicago,3,5,no,yes,no,no,yes,yes,no,no,yes,none,yes,other,no,no,no,no,no,no,trade
18,0,Tamika,female,afam,low,chicago,3,6,no,no,no,no,no,no,no,yes,yes,none,yes,other,no,no,no,no,no,no,trade
19,0,Jill,female,cauc,high,chicago,2,6,yes,yes,no,no,yes,yes,no,yes,yes,none,no,retail sales,no,no,no,no,no,no,trade
20,0,Latonya,female,afam,low,chicago,2,8,no,no,no,yes,no,no,no,no,no,none,no,retail sales,no,no,no,no,no,no,trade
21,0,Leroy,male,afam,high,chicago,3,4,no,yes,no,no,yes,yes,yes,yes,yes,none,no,retail sales,no,no,no,no,no,no,trade
22,0,Todd,male,cauc,low,chicago,3,3,no,no,no,no,no,no,yes,yes,yes,none,no,retail sales,no,no,no,no,no,no,trade
23,0,Allison,female,cauc,low,chicago,2,2,no,no,no,no,no,no,no,no,no,none,no,manager,yes,no,no,yes,no,no,trade
24,0,Carrie,female,cauc,low,chicago,3,7,no,no,no,yes,no,no,yes,no,yes,some,no,secretary,yes,yes,no,yes,yes,no,health/education/social services
25,0,Greg,male,cauc,high,chicago,3,3,no,yes,no,no,no,yes,yes,yes,yes,none,no,manager,yes,no,no,yes,no,no,trade
26,0,Keisha,female,afam,low,chicago,4,6,no,no,no,yes,yes,no,yes,no,yes,some,no,secretary,yes,yes,no,yes,yes,no,health/education/social services
27,0,Keisha,female,afam,high,chicago,3,4,no,yes,no,no,no,yes,yes,yes,no,none,no,manager,yes,no,no,yes,no,no,trade
