id,X1,X2,X3,X4
100001,1,-0.673397807,1,0.891364345
100002,0,-0.948962169,0,0.81141733
100003,0,0.151324965,0,-0.398690218
100004,1,-0.365867947,0,-0.36901227
100005,1,0.474235606,1,1.125984971
100006,0,-1.44642652,0,0.440227162
100007,1,1.214749194,1,-0.433712873
100008,1,-0.182154357,1,-0.048558356
100009,0,0.59743633,1,1.13358546
100010,0,0.678648139,1,-0.400814581
100011,0,-0.016205833,1,2.002107888
100012,1,-0.470902329,0,-1.183967008
100013,0,1.785854617,0,0.427606443
100014,0,0.871074549,0,-0.991698345
100015,0,-0.693751615,1,-0.409256255
100016,1,-0.027854429,0,-2.365684991
100017,0,0.220006611,1,0.620411792
100018,0,2.151623519,0,1.152436945
100019,1,0.291976586,1,-0.086547076
100020,1,1.517849438,1,-1.257963571
100021,1,-0.325252098,1,-0.40179707
100022,1,0.261255173,1,0.090521758
100023,1,-1.689823626,0,1.540860595
100024,1,2.259469663,0,0.109192443
100025,1,-0.396585501,1,-0.956982128
100026,0,0.077610721,0,-0.317556692
100027,0,0.737995453,0,-1.264915229
100028,0,-1.678159043,1,0.523445389
100029,0,-0.027251229,1,-1.215821685
100030,1,0.125829522,1,0.244217319
100031,0,0.84688041,0,-1.511812243
100032,0,-0.678362301,1,0.736040834
100033,0,0.958910983,1,0.466002783
100034,0,-0.567546612,1,1.249134602
100035,0,0.310747973,1,-1.119346603
100036,0,0.553985623,1,1.856346701
100037,0,-0.181178261,0,1.507611472
100038,1,-0.170624817,1,1.23334348
100039,1,0.652560843,0,-0.324898685
100040,1,1.031682842,1,0.362481006
100041,1,-0.655284512,0,0.48124899
100042,0,-0.228880029,1,1.537170883
100043,0,-0.341448459,1,0.703998625
100044,0,-0.178700096,1,0.961494574
100045,1,-0.866957914,0,1.268599358
100046,0,0.64630269,1,0.728666839
100047,0,0.228221098,1,0.07708897
100048,1,-0.063144204,1,-0.066076208
100049,1,0.516209719,0,1.184082274
100050,1,-0.173741874,0,-1.12978623
100051,0,-0.343358976,1,-1.343943266
100052,1,0.708464164,0,1.053696064
100053,1,2.535241714,1,-1.595001066
100054,1,0.092309459,1,-0.458107826
100055,0,-0.6194396,1,0.539694033
100056,0,-0.295140515,1,0.710067646
100057,0,1.19666672,0,0.349748628
100058,1,-0.271374454,0,-0.838398611
100059,1,0.879475732,0,-0.605452381
100060,1,-0.434692724,0,-0.701384755
100061,1,-0.602874147,1,1.167279045
100062,1,0.327593888,1,-1.455461149
100063,1,-1.338527607,0,0.915154301
100064,1,-0.555328459,1,0.081001184
100065,1,0.7970934,1,-1.008591524
100066,0,-0.448298852,0,0.93409413
100067,1,2.269283364,0,0.300356742
