id,trans_after,revenue_after,test_coupon,channel_acq,num_past_purch,spent_last_purchase,weeks_since_visit,browsing_minutes,shopping_cart
6001,0,0,control,facebook,6,62.99,6,1,nothing
6002,0,0,coupon,google,2,53.99,0,7,something
6003,0,0,coupon,facebook,3,88.98,3,4,nothing
6004,0,0,control,facebook,1,68.99,1,19,nothing
6005,0,0,coupon,instagram,3,66.49,4,20,nothing
6006,1,46.99,control,instagram,1,46.99,1,22,nothing
6007,0,0,coupon,instagram,1,34.99,5,20,nothing
6008,0,0,control,google,0,0,7,21,nothing
6009,0,0,control,google,7,61.99,5,14,something
6010,0,0,coupon,instagram,5,57.49,3,17,nothing
6011,0,0,coupon,google,0,0,1,13,nothing
6012,0,0,control,instagram,1,53.99,2,11,nothing
6013,0,0,coupon,facebook,2,236.97,6,19,something
6014,0,0,control,instagram,6,69.99,0,20,nothing
6015,0,0,control,instagram,1,67.99,5,23,something
6016,0,0,control,referral,0,0,4,16,nothing
6017,0,0,coupon,referral,3,167.97,5,3,nothing
6018,0,0,control,instagram,0,0,1,17,something
6019,0,0,control,google,1,118.98,0,11,nothing
6020,0,0,control,google,2,57.49,3,3,nothing
6021,1,45.192,coupon,facebook,0,0,7,17,nothing
6022,0,0,control,google,2,71.49,4,18,nothing
6023,0,0,coupon,google,2,120.98,7,9,nothing
6024,0,0,control,google,5,67.99,0,12,nothing
6025,0,0,control,instagram,1,80.99,4,16,something
6026,1,59.99,control,google,21,59.99,3,25,nothing
6027,0,0,control,instagram,0,0,6,28,nothing
6028,0,0,coupon,google,0,0,2,8,nothing
6029,0,0,coupon,facebook,0,0,4,7,something
6030,0,0,control,instagram,0,0,5,19,nothing
6031,0,0,control,google,0,0,4,15,nothing
6032,0,0,control,instagram,2,81.99,1,13,something
6033,0,0,coupon,google,2,54.49,5,2,something
6034,2,141.98,control,google,15,70.99,0,15,something
6035,0,0,coupon,google,0,0,4,21,nothing
6036,0,0,control,instagram,3,154.47,0,9,nothing
6037,0,0,control,instagram,2,58.99,2,1,nothing
6038,0,0,control,instagram,1,80.49,1,19,nothing
6039,0,0,coupon,instagram,1,52.49,0,18,nothing
6040,0,0,control,referral,0,0,2,17,something
6041,0,0,control,instagram,0,0,2,26,something
6042,0,0,coupon,instagram,2,126.98,5,22,nothing
6043,2,80.784,coupon,google,0,0,0,10,something
6044,0,0,coupon,instagram,1,60.99,5,11,nothing
6045,0,0,coupon,google,2,61.49,7,15,nothing
6046,0,0,control,google,0,0,0,5,something
6047,0,0,control,google,1,43.99,4,20,nothing
6048,0,0,control,instagram,0,0,3,20,nothing
6049,0,0,coupon,facebook,0,0,0,13,nothing
6050,0,0,control,facebook,2,125.98,7,21,nothing
6051,0,0,coupon,instagram,6,52.49,3,14,nothing
6052,0,0,control,google,1,57.49,6,18,something
6053,0,0,coupon,instagram,0,0,5,14,nothing
6054,0,0,control,facebook,0,0,0,12,nothing
6055,0,0,control,facebook,0,0,6,9,nothing
6056,0,0,control,instagram,4,145.98,2,14,nothing
6057,0,0,control,facebook,7,77.99,1,8,nothing
6058,1,53.592,coupon,referral,3,66.99,5,8,nothing
6059,0,0,coupon,google,14,78.99,6,8,something
6060,0,0,coupon,facebook,0,0,5,24,nothing
6061,1,70.99,control,facebook,0,0,2,21,nothing
6062,0,0,control,google,1,153.98,5,9,nothing
6063,1,68.99,control,google,5,137.98,1,27,something
6064,0,0,coupon,facebook,0,0,0,12,nothing
6065,1,59.592,coupon,instagram,0,0,1,12,nothing
6066,0,0,control,instagram,1,54.49,6,17,nothing
6067,0,0,control,google,4,49.99,2,1,something
6068,0,0,control,facebook,1,110.98,2,4,something
6069,0,0,coupon,instagram,4,70.99,2,32,nothing
6070,0,0,coupon,instagram,1,52.99,0,21,nothing
6071,0,0,control,google,1,67.99,4,9,nothing
6072,0,0,control,google,0,0,1,15,something
6073,0,0,coupon,instagram,4,130.98,0,2,nothing
6074,0,0,control,facebook,0,0,2,10,something
6075,0,0,coupon,google,0,0,0,6,something
6076,1,55.192,coupon,instagram,11,68.99,0,20,nothing
6077,0,0,coupon,google,0,0,4,8,something
6078,2,133.98,control,instagram,0,0,1,8,something
6079,0,0,control,facebook,4,191.97,0,17,something
6080,0,0,control,google,2,45.99,3,12,nothing
6081,0,0,coupon,facebook,3,102.98,7,10,nothing
6082,0,0,control,instagram,1,65.99,4,8,nothing
6083,0,0,control,facebook,0,0,5,4,nothing
6084,0,0,control,instagram,1,61.99,4,20,nothing
