net_tfa,age,inc,educ,fsize,marr,twoearn,db,pira,hown,e401
0,47,0.6765,8,2,0,0,0,0,1,0
1015,36,2.8452,16,1,0,0,0,0,1,0
-2000,37,0.33,12,6,0,0,1,0,0,0
15000,58,5.259,16,2,1,1,0,0,1,0
0,32,2.1804,11,1,0,0,0,0,1,0
27800,34,3.468,16,1,0,0,0,1,1,0
2913,28,2.16,12,3,1,1,0,1,1,0
-650,54,0.4686,11,3,0,0,0,0,1,0
37279,43,6.582,14,2,1,1,1,1,1,0
1900,32,3.726,18,3,1,0,0,0,1,0
783,52,1.5306,12,3,1,0,0,0,1,0
-10000,30,5.8413,18,4,1,1,0,0,0,0
-740,63,2.163,15,2,0,0,0,0,1,0
0,38,3.06,18,1,1,0,0,0,0,0
-4700,32,3.3414,13,4,1,1,0,0,0,0
-1000,29,1.458,12,3,0,0,0,0,0,0
-16901,40,5.7477,17,4,1,1,1,0,1,0
2000,30,4.6008,10,4,1,0,0,0,1,0
0,44,0.3825,12,1,0,0,0,0,0,0
0,57,0.522,18,1,0,0,1,0,0,0
-800,42,0.912,10,5,0,0,0,0,1,0
52900,41,6.9693,16,4,1,1,0,1,1,0
-9940,39,5.211,16,1,0,0,1,0,0,0
0,53,3,12,3,1,0,0,0,1,0
2000,64,2.6826,12,1,0,0,0,0,1,0
0,37,1.0524,14,3,0,0,0,0,0,0
0,62,3.3228,12,2,1,1,0,0,0,0
-2238,55,6.0528,12,2,1,0,0,0,1,0
-2797,39,1.3512,12,3,1,1,1,0,1,0
97664,58,4.464,12,1,0,0,0,1,1,0
-500,43,1.428,4,4,1,0,0,0,0,0
-4700,37,2.8134,13,3,1,0,0,0,0,0
249,31,1.4931,16,1,0,0,0,0,1,0
400,25,2.6535,14,2,1,0,0,0,0,0
-3000,39,4.836,13,4,1,1,0,0,1,0
5000,41,3.1635,13,2,0,0,0,0,1,0
24654,52,4.0041,14,3,0,0,0,0,1,0
-5000,43,2.241,12,1,0,0,1,0,0,0
700,37,2.7072,9,5,1,1,0,0,0,0
0,47,2.142,13,1,0,0,0,0,1,0
3550,57,3.441,15,3,1,1,0,0,1,0
-3900,36,2.37,12,4,1,1,0,0,1,0
-7350,30,1.995,14,3,1,0,0,0,0,0
-2450,29,2.3274,12,3,0,0,0,0,0,0
41800,54,2.0019,13,3,1,0,0,1,1,0
-200,47,0.12,15,2,0,0,0,0,0,0
16597,51,8.598,18,2,1,0,0,1,1,0
4883,44,2.6472,12,4,1,0,0,0,1,0
8300,61,3.7911,12,5,1,1,0,0,1,0
-550,30,1.5822,15,4,1,0,0,0,1,0
11730,48,7.7913,14,2,1,1,1,0,1,0
90550,39,15.9696,16,2,1,1,0,1,1,0
-5500,36,2.52,12,4,0,0,0,0,0,0
9918,39,2.3046,14,1,0,0,0,1,1,0
-120,26,1.545,12,3,0,0,0,0,1,0
2050,37,2.592,18,1,0,0,0,0,0,0
-3900,37,1.3839,16,1,0,0,0,0,1,0
-1002,32,1.0164,12,5,0,0,0,0,1,0
-3600,30,2.7624,12,1,0,0,1,0,1,0
-12465,50,4.1217,7,4,1,1,0,0,1,0
-6994,45,3.5565,12,3,0,0,0,0,0,0
-10275,30,5.7,14,2,1,1,0,0,1,0
5000,41,5.4852,12,5,1,1,1,0,1,0
-19840,31,2.5002,12,4,1,1,0,0,0,0
1384,30,4.6398,16,4,1,1,0,0,1,0
0,46,1.8,14,2,0,0,0,1,1,0
20700,38,3.3576,10,4,1,0,0,0,1,0
2250,25,0.315,16,1,0,0,0,0,0,0
59498,46,6.4203,12,5,1,1,1,0,0,0
10,29,1.6194,12,3,0,0,0,0,1,0
1400,58,1.44,4,5,1,0,0,0,1,0
10600,46,4.1622,11,5,1,0,0,1,1,0
-1068,42,6.0384,12,4,1,1,0,0,1,0
41302,63,4.6122,13,2,1,0,0,0,1,0
10055,34,4.1757,12,4,1,0,0,1,1,0
-100,40,5.832,12,3,1,1,0,0,1,0
-5100,35,3.8244,16,3,1,1,0,0,0,0
-550,43,1.4292,12,3,1,0,0,0,1,0
-1400,37,2.4231,13,4,1,1,0,0,1,0
800,32,2.5314,12,1,0,0,0,0,0,0
-1847,54,0.4917,11,1,0,0,0,0,0,0
-50,30,1.2051,18,1,0,0,0,0,0,0
3000,53,3.078,8,4,1,1,1,0,1,0
62800,57,6.15,13,3,1,0,0,1,1,0
-9100,29,4.92,17,2,1,1,0,0,1,0
0,49,1.173,4,6,1,0,0,0,0,0
24999,49,6.3396,16,3,1,0,0,0,1,0
