id,Y0,Y1,channel,recency,frequency,monetary
30001,120.5765973,278.4029519,Referral,12,6,68.77682431
30002,262.7402775,150.1783381,Referral,18,19,91.79102906
30003,155.5063742,105.0852179,Organic,20,15,65.43404246
30004,107.29726,93.46393143,Ad,27,23,174.2311214
30005,228.7355264,272.7778096,Referral,14,7,140.554564
30006,169.3823191,171.5601001,Organic,22,17,182.4792772
30007,171.8081832,184.4643112,Ad,15,9,124.7361076
30008,104.244949,183.8298931,Ad,13,13,39.48793742
30009,219.1552898,176.5678651,Ad,9,8,116.5905326
30010,201.3193145,303.4957629,Organic,10,9,182.9272901
30011,223.9845785,217.2453809,Referral,12,9,145.547743
30012,148.4530585,128.1489821,Organic,18,29,104.0641076
30013,286.2773813,283.5724232,Organic,13,11,76.72677673
30014,116.1484736,267.9902036,Ad,17,13,79.66704605
30015,170.2780811,196.9068378,Ad,14,7,105.6469382
30016,225.3615189,111.5966822,Ad,13,13,4.482510221
30017,62.07662783,120.7025516,Organic,15,11,91.82189214
30018,114.287732,211.4186954,Organic,9,8,64.13596694
30019,85.23247332,200.2833942,Organic,16,15,140.6638827
30020,133.3335264,191.6357638,Ad,10,11,33.37504065
30021,175.2558309,174.64394,Ad,21,17,104.0678007
30022,174.2759435,190.8222994,Referral,14,7,100.6714667
30023,170.6267405,304.1624986,Organic,11,17,194.1921999
30024,252.2197559,329.9421429,Organic,21,13,96.98376761
30025,255.5918204,274.7847279,Organic,15,5,101.7804697
30026,317.916833,343.123875,Organic,6,6,172.6423492
30027,165.5753569,253.4084403,Ad,14,12,67.96349535
30028,134.3696391,227.8764085,Ad,13,3,55.18528688
30029,160.7363816,123.5255155,Ad,18,17,7.20157971
30030,206.6717563,182.4990194,Organic,11,8,123.3432715
30031,314.4710142,95.58102844,Ad,26,16,49.56066826
30032,368.9131253,137.2669092,Ad,26,19,93.79189299
30033,192.1364136,68.89636744,Organic,18,14,92.98957799
30034,256.9820324,182.8140397,Ad,18,19,62.56453012
30035,110.3927321,116.8487924,Referral,12,5,15.12199584
30036,244.6836879,121.53962,Organic,29,29,113.3849613
30037,153.1375411,271.168566,Organic,13,7,103.1478626
30038,123.776307,164.5958344,Ad,22,21,69.9702065
30039,216.8966434,249.6591863,Referral,12,8,108.7243801
30040,293.4478448,245.2060851,Ad,9,9,187.8586437
30041,116.0054369,228.2181909,Organic,13,11,93.18843454
30042,158.0133595,178.2055225,Ad,10,18,89.94627831
30043,219.4989912,250.3418247,Organic,15,13,130.52317
30044,232.90725,461.239779,Ad,12,3,98.76498884
30045,169.1454666,181.4238477,Organic,28,25,50.87564531
30046,80.3203351,136.0063364,Ad,16,14,95.86399102
30047,239.6940941,175.1658829,Referral,23,17,80.33137521
30048,232.2820971,121.3807149,Ad,11,4,44.01541761
30049,111.0018954,258.3174249,Ad,16,8,31.7369239
30050,109.5095999,286.5352438,Referral,12,9,65.31960695
30051,228.3130972,144.9009538,Organic,16,12,54.96672327
30052,77.25819929,275.8869807,Organic,14,8,102.0663572
30053,116.3246935,183.3988068,Ad,12,8,73.15425881
30054,273.1531542,182.1013773,Organic,13,24,85.02857779
30055,176.5969136,174.71866,Ad,26,11,136.8921646
30056,89.72459904,237.3958338,Ad,12,16,95.76662212
30057,350.6148998,176.8498593,Ad,10,13,129.0861191
30058,183.3024646,202.7288259,Organic,13,13,12.52970642
30059,99.25434729,232.3775244,Organic,21,16,143.4537183
30060,179.9670016,82.88059589,Ad,13,13,10.84705287
30061,195.4914487,325.3237639,Referral,14,10,184.4869726
30062,171.664758,305.792852,Organic,19,26,126.8376464
30063,199.4077155,297.3374635,Referral,9,8,72.68296522
30064,230.1734849,351.0632535,Ad,11,13,89.33180914
30065,148.131122,145.0603336,Ad,14,19,120.9096494
30066,215.9737629,204.0441279,Organic,30,28,171.181696
30067,201.1610253,280.4428168,Ad,18,11,114.9082765
30068,126.6839532,105.1385175,Ad,20,19,222.3164725
30069,156.2190398,193.7413869,Ad,16,23,145.5696061
30070,295.6251045,265.5414601,Referral,14,13,162.2907271
30071,129.3548108,129.6457534,Ad,17,14,155.154418
30072,54.32466768,202.7120947,Referral,17,16,184.0314878
30073,337.1340879,491.3957122,Organic,7,3,142.020237
30074,147.7668525,159.5084668,Ad,23,13,196.8759099
30075,189.7843267,264.1263109,Referral,16,9,152.3389807
30076,273.2566437,206.9636086,Ad,10,8,164.1844961
30077,180.4439731,216.9448647,Ad,10,8,119.6018296
30078,194.4111422,263.5284609,Ad,12,17,122.5958507
30079,165.3477964,177.3350844,Referral,14,6,50.34677243
30080,264.737749,309.6422408,Ad,14,4,74.29806051
30081,119.9086286,240.2892955,Organic,13,9,95.87151234
30082,283.9700428,109.0514347,Organic,22,21,7.398142465
30083,195.3788157,132.0873253,Ad,15,22,88.18272838
30084,128.9983804,223.1407078,Ad,15,13,116.9283294
30085,207.6699241,363.4560001,Organic,9,3,74.25653693
30086,251.6595989,127.1009088,Referral,23,20,43.83668714
30087,161.1371523,186.0201814,Organic,11,14,90.80733759
30088,118.4195207,152.5293887,Organic,18,18,117.0086457
30089,279.1339833,297.4142194,Organic,8,8,143.6870586
30090,391.3531731,315.9038214,Organic,12,4,113.3466464
30091,795.4999112,934.8993149,Ad,8,1,163.761795
30092,122.6144205,173.7267091,Organic,13,13,149.1539626
30093,89.2861782,214.3077685,Organic,13,7,93.84930443
30094,370.5094006,151.4158776,Ad,19,16,83.31275044
30095,183.7072949,78.22302828,Ad,24,17,106.3313317
30096,150.3845411,150.7667169,Ad,17,18,130.3464291
30097,145.4857511,141.6507253,Organic,19,16,98.97096153
30098,173.5664669,252.0239374,Ad,29,17,34.875797
30099,116.9301765,142.1523007,Ad,21,13,167.224516
30100,226.2734623,233.4970593,Ad,8,13,121.0155587
30101,174.869075,156.7228935,Referral,21,24,102.3364448
30102,143.6495078,220.7784382,Organic,11,14,73.49197822
30103,191.4381001,238.9959721,Organic,18,5,137.490622
30104,144.7373832,171.2953364,Ad,14,26,42.19631883
30105,196.008634,248.9214376,Ad,9,3,76.63908586
30106,175.3790975,176.6383725,Organic,19,12,93.70627997
30107,68.37808168,228.6186252,Ad,21,16,165.5675918
30108,127.6945455,92.18094455,Ad,22,15,74.33691216
30109,229.7962289,191.8606224,Organic,18,4,92.84226291
30110,212.1305096,181.2890134,Organic,22,32,11.70736306
30111,143.8357346,158.5854304,Referral,23,17,47.27915177
30112,191.712186,145.7780867,Organic,15,18,69.60066035
30113,288.9608234,135.3925157,Ad,15,23,42.86608413
30114,144.6177801,173.406783,Organic,10,7,66.86737135
30115,171.0109612,170.5168925,Organic,19,21,70.8781595
30116,121.1779947,209.7795539,Referral,12,14,50.53289626
30117,151.7208957,210.1890034,Referral,15,4,77.20374265
30118,156.4197231,165.7659649,Ad,12,8,46.20031891
30119,122.4689915,285.8599191,Organic,11,10,123.3959797
30120,107.2667274,158.3762122,Organic,10,17,63.25169126
30121,161.1806775,135.8315288,Ad,26,8,73.85221813
30122,351.9762506,156.7728006,Ad,22,34,133.8155051
30123,143.3577412,169.0618456,Referral,13,11,157.7578677
30124,167.9056097,237.0404279,Referral,6,17,175.2982249
30125,116.51827,183.6727914,Referral,11,8,107.787153
30126,255.7253641,336.643625,Organic,12,4,161.2765918
30127,167.0347521,91.43207339,Referral,21,16,88.99614116
30128,337.2925596,152.0789524,Referral,12,15,147.2969753
30129,200.8919895,155.8000067,Organic,14,17,52.51467572
30130,169.3112706,210.298747,Organic,20,11,109.2730436
30131,311.5903323,210.8167142,Ad,23,28,146.7223438
30132,182.3148448,169.1876502,Ad,20,24,104.1870096
30133,238.1355413,152.1386526,Organic,19,14,71.47547624
30134,181.8492387,151.7903981,Ad,23,16,110.8778574
30135,178.3469685,216.8377226,Ad,15,13,62.50347897
30136,271.7385608,153.2628781,Ad,19,13,82.44161305
30137,231.1656135,120.3738826,Ad,28,29,30.18107476
30138,147.8840247,119.3688024,Organic,16,20,94.18672183
30139,94.99309644,151.4339172,Referral,15,22,122.0278953
30140,173.7954633,265.6156788,Ad,11,9,147.019539
30141,218.4619788,213.2083898,Ad,19,15,101.3628098
30142,273.2588097,243.3813662,Ad,30,45,65.22430045
30143,240.3216689,213.690807,Organic,17,8,140.0219231
30144,181.0056278,236.691949,Organic,15,18,79.23192035
30145,183.3908019,219.3699918,Organic,19,21,212.7520054
30146,158.0667361,184.5458207,Ad,23,17,113.0329114
30147,226.4864105,249.739947,Organic,10,3,57.34716308
30148,290.0476582,234.367958,Organic,16,26,203.1215192
30149,301.3118083,440.7442858,Organic,6,3,122.1202853
30150,216.8766339,309.9003527,Ad,13,11,102.1061593
30151,90.66946627,122.4252263,Ad,19,29,192.2377641
30152,144.1470208,173.0708464,Referral,11,12,124.5235532
30153,107.3733433,189.5628945,Ad,12,19,14.74360491
30154,136.2955233,250.9281036,Referral,22,16,92.4747475
30155,365.9766774,138.722718,Referral,29,26,59.89178319
30156,262.2600527,177.7985196,Ad,13,16,37.06820051
30157,183.3817441,288.277903,Referral,19,8,152.6722066
30158,130.9395406,280.7948688,Organic,11,9,115.9806856
30159,253.7136087,137.4635981,Organic,18,19,94.18372785
30160,431.973288,326.2238848,Organic,6,2,66.36713866
30161,169.2063496,175.3328417,Ad,14,12,187.3331592
30162,127.9709414,188.8656061,Ad,16,6,96.11593021
30163,206.6554338,218.4071105,Organic,10,7,80.63899229
30164,197.5638813,210.2896442,Organic,20,15,155.865829
30165,258.9455742,161.3409995,Referral,18,26,109.3799646
30166,226.9256911,209.6331151,Referral,11,14,170.4860755
30167,116.2716229,148.7144907,Ad,17,16,68.46288082
30168,265.4169495,192.1296302,Organic,18,14,70.25683439
30169,139.8654776,187.8367731,Referral,9,9,54.50513496
30170,201.1845577,187.5089901,Ad,16,13,62.12424786
30171,161.1954631,169.3513791,Ad,16,25,122.5718867
30172,190.8005817,120.69437,Ad,15,11,118.3348754
30173,143.0574295,255.1049404,Ad,15,8,65.63293961
30174,138.645311,165.7795829,Organic,15,20,77.10516349
30175,311.4781582,209.1046632,Organic,15,16,103.4823645
30176,167.8375719,289.9941198,Organic,16,8,132.7040056
30177,152.3673274,216.0704805,Organic,21,9,96.63313062
30178,214.0272172,191.9243942,Organic,15,13,82.14210529
30179,122.496013,172.1339761,Ad,21,17,106.5021338
30180,184.2772978,162.0769491,Organic,14,13,3.538284502
30181,157.4097054,277.1148495,Organic,14,13,116.6839355
30182,121.671326,260.4415778,Referral,20,14,53.19135489
30183,226.5300448,316.7638668,Organic,11,5,155.7009833
30184,197.4794175,219.718592,Organic,11,7,52.33606644
30185,211.5956769,190.0074254,Ad,25,14,155.1940576
30186,181.1329927,272.2678817,Organic,17,9,153.4279503
30187,192.5716837,144.4512573,Organic,17,15,85.82138383
30188,166.0319205,106.9230328,Ad,19,19,126.9041985
30189,257.427143,205.1312049,Ad,11,6,99.49740909
30190,133.6740573,143.1162333,Ad,15,14,106.6724121
30191,292.8334817,149.402955,Ad,15,11,134.4026594
30192,310.0005861,244.0690152,Organic,14,11,179.0915336
30193,152.2237822,347.651209,Organic,11,10,117.7492258
30194,110.3829272,130.6532644,Referral,19,9,147.0519115
30195,250.8532293,213.2697644,Referral,10,8,98.38968519
30196,355.6503987,461.9022208,Referral,7,2,130.3584179
30197,269.3262988,259.0592241,Organic,15,4,90.80137462
30198,193.4555781,177.703775,Ad,10,13,79.88867738
30199,300.5810202,308.6446887,Referral,9,4,142.4049062
30200,147.9962081,328.9308547,Organic,15,10,149.4176955
30201,133.0478099,255.0814776,Ad,10,8,110.7653562
30202,0.0,0.0,Organic,40,33,64.25108742
30203,118.4198314,142.4974266,Organic,14,15,127.3571561
30204,277.3125617,92.94821102,Referral,22,17,102.698602
30205,215.3464803,153.6949839,Referral,22,19,156.9609208
30206,163.2851165,88.20547742,Ad,18,8,32.8648768
30207,357.7697583,294.7665129,Ad,6,4,114.6312168
30208,169.8417438,198.5145148,Organic,14,18,72.97788232
30209,212.9880158,217.9896622,Ad,16,15,192.3495696
30210,126.0528797,101.4721898,Ad,16,20,136.5384744
