id,outcome,treat,channel,recency,frequency,monetary
20001,171.8829743,1,Organic,14,11,100.059775
20002,180.14998,1,Ad,24,17,89.53442979
20003,138.3542119,0,Ad,12,12,117.0272957
20004,196.8719489,0,Referral,11,5,96.17724639
20005,105.2625326,1,Referral,27,8,105.3055955
20006,187.824005,0,Referral,14,6,53.93666857
20007,245.0757082,0,Ad,11,3,94.75933426
20008,248.3073854,1,Ad,12,5,89.26985181
20009,373.5308648,0,Ad,29,38,79.20960065
20010,234.7431439,0,Ad,6,9,44.32141616
20011,263.2622233,0,Ad,26,17,10.12345259
20012,198.1756366,0,Organic,20,18,95.81804006
20013,110.647975,0,Ad,15,23,148.9360859
20014,164.0301569,1,Organic,24,28,66.01218859
20015,178.4116127,1,Organic,16,29,93.74449884
20016,242.4385771,0,Ad,13,10,128.2339277
20017,121.8020616,1,Ad,18,26,27.47229036
20018,160.1514196,1,Ad,12,14,195.7309725
20019,396.7443348,1,Ad,9,2,91.31676838
20020,224.3644023,1,Organic,11,11,138.0401393
20021,235.8293545,1,Ad,16,11,124.5394828
20022,130.2480422,1,Ad,13,25,154.761183
20023,117.1129792,1,Organic,24,11,78.07885518
20024,346.6835236,1,Ad,17,18,178.064129
20025,197.6450501,1,Organic,9,8,166.3506806
20026,242.4091187,1,Organic,12,9,167.8380456
20027,175.2626481,0,Referral,14,5,144.5694754
20028,181.388042,1,Ad,17,10,133.6828104
20029,305.6455008,1,Organic,13,10,188.740984
20030,183.665576,0,Ad,18,8,107.610121
20031,299.1541724,0,Ad,12,10,111.9206701
20032,229.1938488,1,Ad,16,23,110.3330909
20033,179.2439378,0,Ad,14,9,214.279
20034,217.4351383,0,Ad,29,23,78.88093303
20035,236.5616429,0,Organic,11,6,105.0450799
20036,200.6589844,1,Ad,21,10,68.07802206
20037,150.4803863,0,Ad,18,15,71.16880801
20038,149.62668,0,Ad,18,11,52.00013908
20039,141.2405265,0,Ad,17,10,80.16791132
20040,128.2852294,1,Referral,28,26,164.7848152
20041,126.8773564,1,Organic,17,12,70.76271998
20042,304.7116028,1,Organic,9,8,148.7357344
20043,47.64694039,0,Ad,17,12,63.04447344
20044,201.685595,0,Ad,16,16,23.53910814
20045,398.6483762,1,Ad,18,12,126.9792851
20046,180.4677547,1,Ad,21,9,163.4677366
20047,151.9019509,1,Ad,27,31,63.32375657
20048,137.9733972,0,Referral,14,10,85.12582208
20049,423.2472834,1,Organic,18,7,20.82220476
20050,198.1986518,1,Organic,21,23,77.71793157
20051,498.7173506,1,Organic,7,2,43.85751425
20052,166.0927441,0,Referral,13,8,77.07587769
20053,97.88795253,0,Ad,19,7,90.71828139
20054,200.7261246,0,Ad,26,29,87.22067533
20055,195.9582807,1,Ad,14,13,212.4054819
20056,137.8435788,0,Referral,9,12,138.6247052
20057,169.2736602,0,Organic,11,5,68.03442299
20058,194.5681894,1,Ad,24,27,126.5293709
20059,167.4691853,0,Ad,18,7,152.3428087
20060,162.6091669,0,Organic,13,7,0.277031532
20061,197.6266012,0,Ad,25,29,70.27728771
20062,247.4294789,1,Ad,16,34,182.623326
20063,92.36269691,0,Ad,19,13,122.7082928
20064,354.5532095,0,Referral,11,3,36.72334446
20065,265.7129511,1,Ad,39,43,82.22698945
20066,94.00833402,1,Ad,24,20,148.2430157
20067,113.269448,0,Ad,15,15,129.2312997
20068,169.2112647,0,Ad,28,20,57.51403151
20069,224.7283112,1,Organic,13,6,107.0748736
20070,259.4817065,1,Organic,12,17,129.5903006
20071,134.9375726,1,Ad,17,12,117.9474804
20072,192.3455437,1,Ad,15,8,134.729889
20073,129.7592939,0,Ad,13,8,58.70546774
20074,175.5806217,1,Organic,15,12,162.0474649
20075,74.30254698,0,Organic,12,9,100.2753627
20076,223.8394101,1,Referral,13,5,68.00141412
20077,475.0137585,0,Ad,9,2,150.1503961
20078,134.9680247,0,Ad,11,20,89.80912798
20079,126.52008,0,Organic,9,8,54.98666556
20080,153.3540476,0,Ad,27,42,129.9311978
20081,86.76921688,0,Ad,14,27,66.09451462
20082,312.5576146,0,Referral,32,27,105.1199191
20083,118.5086331,0,Organic,13,10,140.2715334
20084,250.3594586,1,Organic,13,4,94.15935004
20085,281.4573143,1,Referral,15,17,158.007062
20086,238.2657007,0,Referral,10,6,145.0741525
20087,183.9774566,1,Ad,19,11,189.9730621
20088,211.9634183,0,Referral,19,13,38.45214018
20089,177.9646969,1,Referral,9,8,133.9196127
20090,143.2167887,0,Referral,9,4,58.54875479
20091,154.6316917,1,Referral,25,26,176.8244951
20092,201.8643318,0,Ad,17,12,156.0160444
20093,269.8901509,1,Ad,21,8,114.0363927
20094,375.9151503,0,Organic,13,20,109.0568431
20095,190.963721,0,Ad,14,6,127.4825942
20096,109.9908958,0,Organic,26,12,221.6506424
20097,292.8799271,0,Organic,8,6,58.07594813
20098,145.5252722,1,Ad,28,29,128.2363825
20099,306.4401612,1,Ad,15,7,72.61427506
20100,228.6580558,1,Referral,13,11,115.3831065
20101,249.8241461,0,Ad,7,2,41.85531706
20102,169.2715178,0,Referral,20,20,107.8497849
20103,128.9478853,0,Ad,15,23,145.057563
20104,122.288404,0,Referral,13,14,162.8374107
20105,156.0458986,0,Organic,21,34,63.16547259
20106,249.9993047,0,Referral,12,5,67.96418046
20107,196.1945324,1,Organic,11,15,73.87998688
20108,183.2945589,1,Organic,24,26,92.20299023
20109,264.6656237,1,Organic,19,14,68.9910666
20110,320.7670164,1,Organic,22,8,176.1233263
20111,275.6209181,1,Referral,16,19,92.47922984
20112,206.1820097,1,Referral,23,20,167.8863503
20113,180.8883389,1,Ad,13,11,60.07854405
20114,172.7811865,0,Ad,8,3,96.02387509
20115,133.4308822,0,Ad,8,9,177.813774
20116,165.8160039,1,Ad,20,16,20.81968873
20117,188.1924994,1,Referral,14,9,42.38450715
20118,185.1840122,0,Referral,24,26,192.2344215
20119,226.6101738,0,Organic,15,5,150.89561
20120,242.4151716,0,Referral,20,28,65.96736186
20121,228.4499125,1,Organic,21,11,116.2015753
20122,217.6769628,1,Organic,13,20,75.590571
20123,184.1516407,0,Organic,13,18,30.19728166
20124,142.0674202,1,Organic,12,10,37.54710764
20125,151.2395271,1,Referral,18,12,95.73500782
20126,260.4961586,1,Ad,9,6,108.5904862
20127,199.5776751,1,Ad,17,15,170.8661368
20128,213.8488669,0,Organic,13,19,52.90105498
20129,136.4603802,0,Ad,15,20,144.988115
20130,260.7853261,1,Referral,9,7,152.6313446
20131,169.0010763,0,Ad,21,18,146.1171533
20132,210.7773802,0,Ad,24,23,73.8819148
20133,346.108875,1,Ad,23,18,223.4807251
20134,124.2058114,0,Organic,16,14,199.1897414
20135,237.8982058,0,Referral,15,8,78.81242471
20136,199.0657694,1,Ad,10,9,65.22243861
20137,179.127732,1,Organic,23,13,193.7378131
20138,336.3197916,1,Referral,11,7,81.41410544
20139,358.4238712,1,Organic,14,11,113.0564618
20140,252.5559857,1,Ad,10,12,85.49955636
20141,126.8315762,1,Organic,17,18,161.5200422
20142,349.3424449,1,Organic,26,14,120.9607614
20143,125.4506098,0,Organic,16,13,136.7601269
20144,240.9934477,1,Ad,19,9,165.4897518
20145,302.8962813,1,Organic,5,6,119.8863258
20146,199.3153108,0,Ad,15,17,60.32629269
20147,574.7065887,1,Organic,7,1,77.15607577
20148,198.1457687,0,Ad,24,20,62.82587632
20149,324.1744805,1,Ad,14,4,130.5447891
20150,216.6391438,0,Organic,10,16,123.1245077
20151,267.0840983,1,Organic,18,15,37.72521136
20152,106.276178,0,Ad,17,13,103.8161831
20153,151.1938683,0,Ad,15,17,168.3765734
20154,235.5934464,1,Ad,22,18,138.5586572
20155,172.2041409,1,Ad,19,17,85.07769581
20156,141.6044348,1,Ad,25,31,52.07391949
20157,226.5175351,0,Ad,9,11,100.2475331
20158,271.3764159,0,Organic,15,22,84.27444396
20159,234.6682887,0,Organic,22,16,131.5759065
20160,285.8607088,0,Ad,19,26,61.39070371
20161,186.3182558,1,Organic,12,6,68.39947298
20162,184.4030098,0,Ad,14,13,84.83709078
20163,172.0367386,1,Ad,14,4,30.76575438
20164,192.2218545,0,Referral,19,12,9.422742212
20165,134.9571832,0,Ad,8,7,60.08814521
20166,370.0748629,1,Ad,12,6,178.8926105
20167,181.2888965,1,Ad,17,20,44.82900664
20168,314.363119,0,Ad,32,20,67.58090792
20169,268.6598402,1,Organic,10,4,128.8861944
20170,193.134713,0,Organic,15,11,0.540960088
20171,82.00988171,1,Organic,14,10,44.58556545
20172,89.3268299,0,Ad,12,7,9.531561149
20173,109.7437258,0,Organic,14,9,57.28897789
20174,87.22736407,1,Organic,31,38,169.4762341
20175,171.3774854,1,Ad,10,10,109.3929687
20176,173.854165,1,Organic,12,16,199.0035643
20177,69.30871499,1,Organic,25,28,81.13685114
20178,198.2048865,0,Referral,6,12,113.5170785
20179,126.4185342,0,Referral,10,22,12.98154065
20180,269.3564887,1,Ad,10,13,65.6770362
20181,173.0506141,0,Organic,6,5,56.69724686
20182,231.8083396,1,Ad,12,10,147.7759484
20183,231.4518947,0,Referral,13,5,177.2757045
20184,122.8025351,1,Ad,15,12,109.3650687
20185,233.8572375,1,Ad,34,30,224.1389228
20186,318.5517703,0,Ad,12,10,72.73704067
20187,202.3927553,0,Ad,24,23,103.5823495
20188,164.053618,0,Ad,23,12,79.04654468
20189,225.5593484,0,Referral,12,14,33.09878365
20190,116.698775,0,Ad,19,9,88.36807271
20191,146.7824752,1,Organic,15,7,9.384087222
20192,111.2070732,1,Organic,9,9,40.5514805
20193,177.5254583,0,Ad,20,30,47.92072965
20194,357.5745193,0,Ad,23,39,119.583104
20195,295.0997999,1,Organic,9,5,150.9605671
20196,166.4172429,0,Ad,18,12,94.93910766
20197,384.3528367,1,Referral,9,7,197.4715864
20198,181.7776351,1,Ad,24,23,104.86908
20199,199.9572569,1,Referral,16,11,96.7724552
20200,115.7801745,0,Ad,17,4,67.45300897
20201,222.3618883,1,Ad,15,8,162.1252593
20202,190.8774824,1,Organic,13,8,63.7345474
20203,48.44878005,0,Referral,17,8,77.815195
20204,140.2099818,0,Referral,10,12,66.84888351
20205,129.6264632,1,Ad,23,14,33.33029686
20206,241.2590369,1,Referral,23,27,167.2484966
20207,223.8968101,0,Organic,9,4,99.11521703
20208,292.6810914,0,Ad,29,24,61.3042523
20209,110.0509537,1,Organic,25,26,47.85451113
20210,192.4587308,0,Ad,16,11,37.65846918
20211,163.9278692,1,Organic,10,9,42.16156315
20212,224.7034057,1,Organic,14,10,162.2301086
20213,125.942258,0,Organic,16,27,148.6918605
20214,126.2076021,1,Ad,29,29,140.375795
20215,293.2985895,0,Organic,20,25,127.2507199
20216,284.3075085,0,Referral,11,5,100.9148811
20217,161.2374948,1,Ad,23,10,147.1492022
20218,201.812583,0,Ad,12,13,114.6432951
20219,192.7160983,0,Ad,20,18,170.2649749
20220,277.0842203,1,Ad,9,9,128.1279855
20221,275.3146909,1,Ad,15,12,54.26300417
20222,190.348976,1,Ad,16,40,122.1584262
20223,325.6655431,0,Ad,20,14,66.84936976
20224,201.2809169,1,Ad,13,10,100.3229513
20225,342.8840326,1,Organic,7,3,97.04406974
20226,344.1722429,0,Ad,17,17,112.8256488
20227,210.732492,0,Ad,17,13,85.01338828
20228,261.1442151,0,Ad,10,7,91.90509225
20229,173.4725869,1,Ad,27,20,83.84730403
20230,179.1294382,1,Organic,24,35,77.16619936
20231,211.7299487,0,Organic,24,15,122.473565
20232,164.3676102,1,Ad,22,25,116.5341213
20233,246.4193662,0,Ad,22,15,54.32547026
20234,199.4172319,1,Referral,17,11,145.5717576
20235,182.8276765,0,Referral,14,14,168.7160912
20236,191.420054,1,Ad,14,12,173.7748333
20237,169.7405165,0,Ad,11,15,113.7722248
20238,252.993075,0,Organic,27,22,134.3088333
20239,250.9997477,0,Organic,13,11,209.2288643
20240,111.6915823,0,Referral,11,12,166.9496814
20241,145.9266197,0,Ad,18,11,135.2064173
20242,165.8565351,0,Ad,15,14,61.24153669
20243,135.9214982,1,Ad,14,11,142.6341929
20244,120.5674147,0,Organic,17,23,68.47508429
20245,276.3264025,0,Ad,8,4,130.9045222
20246,266.2023355,1,Ad,6,6,7.443328184
20247,176.7476501,0,Ad,17,10,109.098775
20248,157.8243566,1,Ad,21,19,59.77296824
20249,87.04421161,0,Organic,15,10,99.21124541
20250,122.2739961,0,Ad,10,16,109.3416787
20251,101.7796248,0,Organic,11,7,40.20558846
20252,182.2659552,0,Organic,18,13,26.33141265
20253,275.5965941,0,Organic,4,2,77.82436647
20254,231.5496615,1,Ad,11,12,158.9524825
20255,418.8136499,0,Ad,12,2,106.0257091
20256,287.6250125,0,Organic,28,49,49.76502768
20257,462.0236851,1,Ad,19,4,128.9227323
20258,188.8347291,1,Referral,22,25,159.2423894
20259,323.8188167,1,Ad,14,6,214.7712348
20260,155.8954254,1,Ad,20,12,115.8941218
20261,131.2026295,1,Organic,29,33,23.30115517
20262,152.0207274,1,Ad,12,9,45.95269769
20263,216.1117213,0,Ad,14,8,11.98407024
20264,303.5758084,1,Referral,9,8,65.26581847
20265,238.5986326,1,Organic,22,13,76.25663858
20266,170.7902609,1,Organic,22,18,100.0837238
20267,256.7110392,1,Referral,14,4,72.19786864
20268,123.2286821,0,Ad,18,17,62.93027461
20269,226.1085338,1,Organic,14,8,55.52400822
20270,221.275861,1,Ad,11,5,31.47535556
20271,152.0355797,0,Ad,9,9,120.3304227
20272,164.1534043,1,Ad,22,11,128.6265505
20273,257.16734,0,Organic,16,13,128.4113223
20274,197.5566793,0,Ad,26,18,50.33077809
20275,102.8535819,0,Referral,9,8,13.56860016
20276,206.0332059,0,Ad,10,6,90.03446491
20277,139.0221256,0,Referral,18,21,181.1100601
20278,129.3682318,1,Referral,26,23,119.6162277
20279,196.4674569,1,Organic,13,8,96.98253473
20280,340.8409142,0,Ad,7,3,163.4207445
20281,216.5971794,1,Referral,21,19,65.52294434
20282,271.7263326,1,Ad,11,3,67.55952731
20283,454.0620163,0,Organic,25,30,111.1290481
20284,174.7290814,0,Organic,16,9,197.8700619
20285,166.5293684,0,Ad,10,6,144.7393359
20286,176.3676614,0,Ad,17,25,133.064737
20287,217.593198,1,Organic,23,25,145.4984743
20288,208.1310996,0,Referral,16,6,97.7769399
20289,229.4997662,0,Organic,22,11,129.4702373
20290,205.5470864,0,Referral,19,13,167.3295728
20291,109.8033554,0,Organic,13,9,104.9623834
20292,185.2902986,0,Ad,19,12,71.699175
20293,194.7895581,0,Organic,21,19,126.7856164
20294,131.6108873,1,Ad,20,21,47.85446144
20295,251.1775667,1,Organic,10,10,63.09715751
20296,145.1801793,0,Ad,17,23,107.387026
20297,110.1195967,0,Ad,18,16,193.1169784
20298,134.7968793,0,Referral,26,21,157.6478071
20299,138.7753963,1,Ad,14,8,46.66107193
20300,221.9088864,1,Ad,13,12,96.98629467
20301,321.0221927,0,Organic,27,18,51.04068465
20302,470.7517521,1,Ad,20,7,253.9628239
20303,173.6127384,1,Ad,26,31,10.40490363
20304,89.21366906,1,Ad,26,14,120.3910202
20305,165.4594192,0,Organic,29,37,115.6845297
20306,159.9945283,1,Ad,16,16,136.0446598
20307,250.0165153,0,Organic,26,24,52.71228345
20308,205.2930043,1,Ad,10,17,60.9217158
20309,123.9658666,1,Referral,15,14,4.936573098
20310,198.328085,1,Ad,16,6,45.55792129
20311,234.7292814,1,Referral,5,5,101.2707106
20312,164.461726,1,Organic,14,14,64.96393006
20313,309.387638,1,Organic,14,9,75.01369336
20314,133.6053386,1,Referral,17,16,118.7806877
20315,171.1855256,0,Organic,14,18,135.3533265
20316,245.7733437,1,Referral,12,13,78.68064112
20317,90.15238167,0,Ad,14,7,64.60309474
20318,206.2400712,1,Organic,21,38,125.7097215
20319,404.1744465,1,Organic,8,2,112.3146187
