outcome,treat,channel,recency,frequency,monetary
249.1414559,1,Ad,11,10,49.77776365
200.486784,1,Organic,26,10,59.4089585
136.3812823,1,Organic,12,8,120.2096115
202.833937,1,Organic,12,8,162.3771419
145.7728865,1,Referral,17,22,168.4241993
359.9140623,1,Organic,6,4,130.9736963
195.0469214,1,Ad,19,12,134.7763358
239.2512346,1,Ad,26,22,89.23621376
223.730226,1,Organic,18,16,122.1478545
168.9492397,1,Organic,18,18,95.61119493
153.536138,1,Organic,20,15,87.25757878
239.7613467,1,Organic,13,8,59.37928124
166.985238,1,Ad,10,8,15.08126398
193.8885055,1,Referral,14,21,40.21641529
208.1465589,1,Ad,18,13,77.61589755
299.8728842,1,Referral,11,4,84.3312089
179.894295,1,Ad,19,20,90.25970805
155.5499692,1,Ad,17,12,111.5240218
252.149895,1,Ad,14,10,162.4143401
259.9761332,1,Ad,20,10,146.5536002
137.3836366,1,Ad,22,28,132.642072
239.0030861,1,Ad,15,6,42.59536051
215.5895668,1,Ad,20,15,80.75180498
301.5970773,1,Ad,20,18,52.20182189
245.5797316,1,Ad,17,7,167.6970346
225.0576149,1,Referral,13,12,158.4903304
250.2997358,1,Organic,18,15,20.17065801
245.9455493,1,Referral,10,6,31.11109648
297.1520522,1,Referral,13,17,148.8321669
156.2726469,1,Ad,21,28,184.8696369
398.0461819,1,Organic,4,3,137.5877931
171.9582475,1,Ad,31,15,17.17826138
137.0862317,1,Ad,26,30,12.53381943
96.77804793,1,Organic,18,13,80.13963234
201.248143,1,Ad,15,11,130.647839
410.9613961,1,Organic,11,6,122.3801998
282.3318749,1,Ad,7,3,86.56592409
120.0197775,1,Ad,14,27,101.4165143
409.3842846,1,Referral,7,4,171.2337268
191.7674767,1,Referral,14,9,101.3329467
159.019638,1,Organic,14,9,47.78020304
244.7136015,1,Organic,10,5,105.8486388
286.5525808,1,Ad,15,5,99.45034586
167.5211396,1,Organic,19,13,28.40072249
204.7967509,1,Ad,15,6,53.01982743
227.749498,1,Organic,16,11,136.1942629
204.9154698,1,Organic,18,13,138.4948075
167.4815977,1,Organic,15,11,37.70948989
314.7105933,1,Ad,8,3,89.37801547
245.1034125,1,Organic,17,23,118.3191769
191.5829919,1,Ad,16,10,121.2043062
279.5462903,1,Ad,33,22,176.0752706
201.8511688,1,Organic,18,13,88.48276902
359.0522439,1,Organic,8,4,156.4341761
124.3999064,1,Ad,14,10,50.25835233
192.3400754,1,Organic,18,13,118.4611473
174.651921,1,Organic,18,10,85.32225086
166.0416674,1,Organic,14,13,101.8124054
211.1871663,1,Ad,8,9,64.33632587
122.0712581,1,Referral,21,19,12.0425741
99.6655123,1,Referral,23,11,79.43023205
146.8216169,1,Ad,19,18,114.4681773
217.648023,1,Ad,22,11,4.65720512
86.38147669,1,Ad,20,9,88.0709195
233.3749959,1,Ad,13,14,93.105998
417.2926596,1,Organic,9,3,106.1676507
127.6116116,1,Ad,21,16,81.98589309
241.7233402,1,Organic,18,17,126.2036493
171.1161932,1,Ad,12,21,166.5532648
193.0358512,1,Organic,20,17,130.7409347
94.2145151,1,Ad,20,10,60.15235149
178.0579076,1,Referral,24,24,46.01202808
186.2025374,1,Ad,9,15,146.8600391
124.2783076,1,Referral,20,27,22.06875652
240.8649917,1,Ad,18,8,109.1998159
264.3480581,1,Organic,20,20,143.6304076
291.8731039,1,Ad,39,24,1.626243624
287.0146194,1,Ad,15,6,116.6973106
180.7026325,1,Ad,20,9,24.63661707
172.5194516,1,Organic,13,10,166.6450382
212.6069558,1,Referral,15,8,66.16026947
252.2398842,1,Organic,16,13,126.2087304
226.4116904,1,Ad,38,27,173.5987519
107.0692411,1,Organic,28,13,75.57887807
252.9390053,1,Ad,12,5,119.0948246
129.210673,1,Referral,21,10,126.5418365
373.661644,1,Ad,18,20,113.0447017
159.9679169,1,Ad,19,29,111.7972266
288.3738565,1,Ad,9,4,66.56938406
197.7487057,1,Referral,20,17,19.91929192
143.4170082,1,Ad,26,20,163.1271819
228.9502904,1,Referral,23,16,39.45948084
148.003134,1,Ad,13,20,109.2173435
229.290928,1,Ad,22,16,108.7572592
105.6890837,1,Ad,15,14,97.3945008
274.8983862,1,Organic,8,6,60.86241654
204.287897,1,Ad,10,11,108.5561579
222.0986831,1,Ad,17,15,272.879768
288.1529436,1,Ad,12,10,119.8220197
92.88176067,1,Organic,16,8,60.12461533
262.6509173,1,Ad,7,6,79.04253548
336.727159,1,Organic,12,13,134.9704334
262.6556622,1,Ad,15,20,161.9011377
190.3373127,1,Ad,13,11,32.2460967
470.8734953,1,Ad,10,4,201.7622453
292.4394953,1,Ad,14,18,223.5367027
224.7927691,1,Ad,16,6,136.5404833
102.0477294,1,Ad,19,8,15.36465755
263.2511278,1,Ad,11,8,110.8635361
192.3673876,1,Ad,32,20,137.9317552
