HomeID,Price,SqFt,Bedrooms,Bathrooms,Offers,Brick,Neighborhood
46,103200,1810,3,2,3,No,East
82,184300,2140,4,3,2,Yes,West
115,124500,2010,4,3,2,No,East
110,108700,2110,3,2,3,No,East
94,157100,2080,3,3,2,No,East
28,99300,1700,3,2,2,No,East
58,152300,2240,4,3,3,No,West
86,188300,2250,4,3,2,Yes,West
76,106900,1900,2,2,2,No,North
55,81300,1650,3,2,3,No,North
9,119200,2110,4,2,3,No,East
88,172500,1880,3,3,1,Yes,West
93,142600,2110,3,2,2,No,West
56,125700,1720,2,2,2,Yes,East
35,117800,2000,2,2,3,No,North
1,114300,1790,2,2,2,No,East
14,126300,2150,3,3,5,Yes,North
118,117800,1920,3,2,2,No,North
42,133600,1840,4,3,2,No,West
29,69100,1600,2,2,3,No,North
17,147100,2190,3,3,4,Yes,East
85,90500,1520,2,2,3,No,North
92,116500,2150,3,2,2,No,East
64,120500,1910,2,3,2,No,East
33,135000,2250,3,3,3,Yes,East
31,182000,2250,4,3,3,Yes,West
95,160600,2150,4,3,3,Yes,West
36,117100,2080,3,3,3,No,North
54,130800,2100,3,2,3,No,North
2,114200,2030,4,2,3,No,East
87,102700,1900,4,2,4,No,North
41,106600,1560,2,2,1,No,East
19,111400,1700,2,2,1,Yes,East
51,151100,2100,3,2,3,Yes,East
40,108200,1740,3,2,2,No,North
104,211200,2440,4,3,3,Yes,West
108,134000,1890,3,2,1,Yes,East
83,164800,2050,2,2,1,Yes,West
81,143400,2190,3,3,4,Yes,East
30,188000,2040,4,3,1,Yes,West
24,106100,1820,3,2,3,Yes,North
100,171000,2080,3,3,2,Yes,West
20,167200,1920,3,3,2,Yes,West
65,130300,1860,3,2,2,No,West
72,157600,2160,4,2,1,No,West
50,107500,1700,3,2,3,Yes,North
119,150200,1950,3,2,3,Yes,North
25,156400,2210,4,3,2,Yes,East
84,147700,2410,3,3,2,No,East
90,97800,2010,2,2,4,No,North
127,149900,2020,3,3,1,No,West
117,199500,2290,5,4,1,Yes,West
109,117000,1990,3,3,3,Yes,East
101,103200,2010,3,2,5,No,North
120,109700,1920,2,2,4,No,North
121,110400,1930,2,3,3,No,North
10,104000,1730,3,3,3,No,East
128,124600,2250,3,3,4,No,North
52,91100,1860,2,2,3,No,North
89,127700,1930,3,3,2,No,North
66,111100,1450,2,2,1,Yes,North
48,90300,2050,3,2,6,No,North
71,166700,1950,3,3,3,Yes,West
12,123000,1870,2,2,2,Yes,East
123,144800,2060,2,2,1,Yes,East
97,133300,2440,3,3,3,No,East
18,83600,1990,3,3,4,No,North
125,147900,2160,4,3,3,Yes,East
61,180900,2200,3,3,1,No,West
47,129800,1990,2,3,2,No,North
116,102500,1900,3,3,3,No,North
112,114900,1740,2,2,2,No,North
67,126200,2210,3,3,4,No,North
8,150700,2160,4,2,2,No,West
59,138100,1840,3,3,1,No,West
63,161300,2220,4,3,2,No,West
106,146900,2530,4,3,4,No,West
37,117500,1880,2,2,2,No,North
126,113500,2070,2,2,2,No,North
13,102600,1910,3,2,4,No,North
96,152500,1970,2,2,1,Yes,West
74,125700,2040,3,3,2,No,East
105,82300,1910,3,2,4,No,East
102,123100,2260,3,3,5,No,East
3,114800,1740,3,2,1,No,East
27,137000,2000,4,2,3,No,West
62,100900,1610,2,2,2,No,North
6,114600,1780,3,2,2,No,North
124,119700,1900,3,3,3,Yes,East
73,107300,1650,3,2,3,No,North
91,143100,1920,4,2,2,No,West
32,112300,1930,2,2,2,Yes,North
7,151600,1830,3,3,3,Yes,West
75,144200,2140,3,3,3,No,West
44,154000,1920,3,2,1,Yes,East
114,115700,2000,3,2,3,Yes,North
4,94700,1980,3,2,3,No,East
22,113800,2000,3,2,4,No,North
5,119800,2130,3,3,3,No,East
111,111600,1710,2,2,1,No,North
16,145800,1780,4,2,1,No,West
68,151900,2040,4,3,3,No,East
26,149300,2290,4,3,3,No,North
113,123600,1940,2,2,2,Yes,East
70,165600,2080,4,3,3,No,West
43,105600,1990,2,2,3,No,East
107,108500,2130,3,2,4,No,North
38,147000,2420,4,3,4,No,West
15,176800,2590,4,3,4,No,West
103,136800,2410,3,3,4,No,East
45,166500,1940,3,3,2,Yes,West
60,155400,2090,4,2,1,No,West
57,140900,2190,3,2,3,Yes,East
77,129800,1930,3,2,2,No,West
122,105600,1930,3,3,3,No,East
11,132500,2030,3,2,3,Yes,East
98,126800,2000,2,2,1,Yes,East
