pageviews,calls,reservations,business_id,restaurant_type,treatment,hours_opened
643,44,39,1,chain,control,9
621,41,44,2,chain,control,8
581,40,38,3,chain,control,10
592,35,31,4,chain,control,13
648,45,46,5,chain,control,8
519,37,41,6,chain,control,6
583,47,42,7,chain,control,8
659,37,42,8,chain,control,7
507,40,30,9,chain,control,10
577,41,35,10,chain,control,7
552,48,41,11,chain,control,7
591,42,37,12,chain,control,11
545,34,41,13,chain,control,11
601,36,45,14,chain,control,6
556,38,33,15,chain,control,8
598,41,36,16,chain,control,12
563,43,38,17,chain,control,12
539,36,42,18,chain,control,8
636,40,44,19,chain,control,7
629,46,38,20,chain,control,9
646,39,39,21,chain,control,10
655,39,44,22,chain,control,6
649,49,41,23,chain,control,13
649,41,40,24,chain,control,14
510,42,44,25,chain,control,8
564,36,37,26,chain,control,10
620,35,38,27,chain,control,13
579,32,35,28,chain,control,8
701,42,44,29,chain,control,6
577,37,34,30,chain,control,6
566,38,38,31,chain,control,7
580,36,44,32,chain,control,13
570,37,40,33,chain,control,14
596,40,39,34,chain,control,8
730,35,43,35,chain,control,6
562,44,41,36,chain,control,7
603,35,39,37,chain,control,8
724,52,50,38,chain,control,11
622,45,33,39,chain,control,8
501,41,42,40,chain,control,13
580,31,38,41,chain,control,7
594,35,37,42,chain,control,8
641,41,45,43,chain,control,10
650,42,34,44,chain,control,14
564,41,32,45,chain,control,6
655,41,39,46,chain,control,14
535,41,39,47,chain,control,8
519,35,43,48,chain,control,9
673,46,42,49,chain,control,6
565,40,41,50,chain,control,6
619,33,32,51,chain,control,11
610,44,39,52,chain,control,12
684,44,48,53,chain,control,12
608,38,44,54,chain,control,7
679,47,41,55,chain,control,10
597,43,43,56,chain,control,9
500,34,20,57,chain,control,14
669,40,46,58,chain,control,12
584,40,41,59,chain,control,12
568,44,33,60,chain,control,12
535,41,45,61,chain,control,12
616,42,46,62,chain,control,10
605,36,43,63,chain,control,14
518,41,40,64,chain,control,13
614,37,36,65,chain,control,14
650,38,42,66,chain,control,8
555,39,29,67,chain,control,11
559,41,35,68,chain,control,8
647,50,38,69,chain,control,7
633,40,49,70,chain,control,7
597,40,39,71,chain,control,11
627,38,41,72,chain,control,10
617,39,40,73,chain,control,11
579,44,41,74,chain,control,6
579,40,39,75,chain,control,13
516,40,39,76,chain,control,12
559,35,45,77,chain,control,14
612,38,41,78,chain,control,12
538,31,32,79,chain,control,9
532,43,38,80,chain,control,7
562,40,37,81,chain,control,6
594,43,37,82,chain,control,6
532,34,38,83,chain,control,11
550,42,45,84,chain,control,7
654,45,43,85,chain,control,7
556,31,42,86,chain,control,6
660,49,47,87,chain,control,7
622,38,40,88,chain,control,13
556,36,38,89,chain,control,13
552,43,35,90,chain,control,11
605,44,36,91,chain,control,7
570,40,45,92,chain,control,10
488,42,42,93,chain,control,13
678,50,45,94,chain,control,7
573,47,38,95,chain,control,12
524,29,42,96,chain,control,10
631,39,39,97,chain,control,9
640,42,39,98,chain,control,14
617,39,40,99,chain,control,7
547,35,34,100,chain,control,9
666,42,45,101,chain,control,6
656,39,41,102,chain,control,8
684,45,47,103,chain,control,6
569,47,40,104,chain,control,10
629,45,35,105,chain,control,9
688,40,45,106,chain,control,11
581,44,46,107,chain,control,9
570,41,34,108,chain,control,14
566,40,41,109,chain,control,9
559,42,38,110,chain,control,12
602,35,34,111,chain,control,10
549,38,34,112,chain,control,10
564,29,42,113,chain,control,13
618,39,38,114,chain,control,8
499,42,35,115,chain,control,7
659,41,39,116,chain,control,12
655,47,34,117,chain,control,9
666,43,44,118,chain,control,7
551,40,39,119,chain,control,8
548,43,45,120,chain,control,8
557,39,29,121,chain,control,10
573,35,43,122,chain,control,10
621,41,44,123,chain,control,9
541,43,40,124,chain,control,7
518,29,28,125,chain,control,7
608,34,38,126,chain,control,11
559,38,42,127,chain,control,8
598,36,37,128,chain,control,11
669,50,42,129,chain,control,12
641,42,47,130,chain,control,7
608,37,48,131,chain,control,7
526,38,34,132,chain,control,12
526,36,43,133,chain,control,7
561,40,35,134,chain,control,6
619,41,35,135,chain,control,13
620,38,45,136,chain,control,11
646,39,29,137,chain,control,7
580,37,32,138,chain,control,14
639,43,43,139,chain,control,9
538,36,40,140,chain,control,11
700,47,44,141,chain,control,11
587,33,45,142,chain,control,14
597,41,41,143,chain,control,12
502,35,38,144,chain,control,14
682,44,42,145,chain,control,13
622,47,35,146,chain,control,12
578,39,44,147,chain,control,9
550,34,41,148,chain,control,14
637,34,47,149,chain,control,11
590,37,35,150,chain,control,14
503,35,34,151,chain,control,7
694,33,40,152,chain,control,14
659,48,36,153,chain,control,14
578,34,27,154,chain,control,7
624,42,46,155,chain,control,14
593,41,36,156,chain,control,13
530,37,32,157,chain,control,14
528,38,35,158,chain,control,7
593,37,38,159,chain,control,7
633,41,46,160,chain,control,10
535,37,27,161,chain,control,7
591,46,39,162,chain,control,9
635,42,44,163,chain,control,11
545,25,38,164,chain,control,9
575,35,37,165,chain,control,9
651,39,45,166,chain,control,9
710,39,46,167,chain,control,13
548,41,42,168,chain,control,10
605,44,44,169,chain,control,7
562,38,36,170,chain,control,7
616,34,35,171,chain,control,9
533,40,42,172,chain,control,6
598,46,33,173,chain,control,6
609,43,44,174,chain,control,13
612,46,48,175,chain,control,7
703,51,41,176,chain,control,14
546,40,42,177,chain,control,11
646,48,42,178,chain,control,13
518,32,31,179,chain,control,13
594,43,29,180,chain,control,14
484,41,30,181,chain,control,7
679,50,50,182,chain,control,8
628,43,45,183,chain,control,13
543,33,29,184,chain,control,12
581,36,41,185,chain,control,8
708,47,38,186,chain,control,7
585,48,47,187,chain,control,8
613,36,46,188,chain,control,7
656,51,37,189,chain,control,14
612,38,41,190,chain,control,7
512,39,36,191,chain,control,6
467,31,37,192,chain,control,8
661,41,40,193,chain,control,9
545,41,46,194,chain,control,8
619,42,45,195,chain,control,11
656,38,46,196,chain,control,10
653,49,20,197,chain,control,9
556,37,37,198,chain,control,13
689,42,45,199,chain,control,9
540,33,31,200,chain,control,12
572,41,35,201,chain,control,6
568,45,47,202,chain,control,7
564,39,34,203,chain,control,13
533,33,36,204,chain,control,8
650,44,36,205,chain,control,10
593,40,44,206,chain,control,9
584,45,41,207,chain,control,14
630,49,36,208,chain,control,8
746,46,52,209,chain,control,6
588,36,45,210,chain,control,9
594,48,45,211,chain,control,14
516,41,44,212,chain,control,6
569,47,44,213,chain,control,11
686,40,47,214,chain,control,10
557,39,40,215,chain,control,7
621,44,42,216,chain,control,12
720,46,44,217,chain,control,14
607,44,38,218,chain,control,12
579,44,28,219,chain,control,9
537,36,35,220,chain,control,9
595,39,40,221,chain,control,6
695,41,41,222,chain,control,14
684,45,48,223,chain,control,9
620,36,40,224,chain,control,13
692,42,38,225,chain,control,11
484,28,26,226,chain,control,6
622,36,43,227,chain,control,12
533,33,35,228,chain,control,6
693,44,43,229,chain,control,8
567,44,40,230,chain,control,11
621,42,42,231,chain,control,13
610,44,44,232,chain,control,7
576,38,37,233,chain,control,13
576,47,35,234,chain,control,7
549,36,31,235,chain,control,9
559,44,29,236,chain,control,6
690,37,40,237,chain,control,11
600,41,41,238,chain,control,9
621,37,43,239,chain,control,13
610,45,41,240,chain,control,12
600,37,37,241,chain,control,7
648,45,34,242,chain,control,10
590,38,30,243,chain,control,7
628,51,41,244,chain,control,9
653,47,45,245,chain,control,13
563,43,37,246,chain,control,6
652,48,40,247,chain,control,11
711,47,49,248,chain,control,13
599,46,44,249,chain,control,8
614,33,35,250,chain,control,11
575,45,30,251,chain,control,11
579,32,38,252,chain,control,7
541,43,43,253,chain,control,11
593,47,40,254,chain,control,12
578,36,43,255,chain,control,10
614,41,50,256,chain,control,6
545,41,38,257,chain,control,11
610,39,30,258,chain,control,9
585,42,40,259,chain,control,7
588,37,42,260,chain,control,9
645,31,43,261,chain,control,9
518,38,33,262,chain,control,6
705,33,42,263,chain,control,11
615,44,36,264,chain,control,14
610,33,43,265,chain,control,6
597,37,39,266,chain,control,7
545,39,39,267,chain,control,12
578,38,37,268,chain,control,11
634,46,42,269,chain,control,12
559,40,39,270,chain,control,7
553,36,35,271,chain,control,10
659,44,46,272,chain,control,11
537,33,42,273,chain,control,13
580,50,38,274,chain,control,12
635,47,47,275,chain,control,11
635,45,49,276,chain,control,9
691,47,51,277,chain,control,6
637,32,48,278,chain,control,7
668,47,45,279,chain,control,6
588,44,39,280,chain,control,10
567,40,32,281,chain,control,13
654,44,49,282,chain,control,14
661,40,38,283,chain,control,6
640,45,46,284,chain,control,6
575,33,43,285,chain,control,7
579,40,40,286,chain,control,14
610,38,30,287,chain,control,9
615,31,41,288,chain,control,14
569,37,36,289,chain,control,6
632,38,48,290,chain,control,9
544,37,46,291,chain,control,14
586,38,37,292,chain,control,7
531,41,40,293,chain,control,6
671,41,43,294,chain,control,14
620,40,44,295,chain,control,12
580,38,30,296,chain,control,11
616,42,38,297,chain,control,8
666,40,40,298,chain,control,12
642,44,43,299,chain,control,13
609,41,41,300,chain,control,9
638,46,39,301,chain,control,6
658,42,43,302,chain,control,6
564,34,39,303,chain,control,14
537,38,44,304,chain,control,9
665,41,51,305,chain,control,10
577,39,36,306,chain,control,8
498,40,33,307,chain,control,14
642,41,41,308,chain,control,13
588,48,47,309,chain,control,6
633,38,36,310,chain,control,11
536,30,48,311,chain,control,10
531,37,41,312,chain,control,14
620,38,43,313,chain,control,14
722,45,56,314,chain,control,10
721,41,46,315,chain,control,6
575,30,30,316,chain,control,9
639,37,42,317,chain,control,9
592,36,44,318,chain,control,7
593,43,39,319,chain,control,10
612,48,44,320,chain,control,8
631,37,36,321,chain,control,10
631,46,43,322,chain,control,11
592,31,35,323,chain,control,6
593,41,37,324,chain,control,12
634,41,50,325,chain,control,7
632,49,43,326,chain,control,14
655,32,38,327,chain,control,9
663,37,44,328,chain,control,7
652,48,45,329,chain,control,12
620,39,42,330,chain,control,8
578,49,35,331,chain,control,13
571,37,39,332,chain,control,8
603,22,40,333,chain,control,10
588,37,41,334,chain,control,8
597,38,38,335,chain,control,11
600,43,45,336,chain,control,12
527,37,30,337,chain,control,10
663,44,47,338,chain,control,13
558,35,41,339,chain,control,13
538,43,39,340,chain,control,8
603,33,36,341,chain,control,6
610,37,40,342,chain,control,9
637,43,37,343,chain,control,9
649,40,34,344,chain,control,9
643,44,46,345,chain,control,14
680,36,46,346,chain,control,10
628,46,45,347,chain,control,12
706,48,42,348,chain,control,10
657,45,44,349,chain,control,6
542,34,32,350,chain,control,9
632,39,39,351,chain,control,7
604,48,39,352,chain,control,6
569,36,30,353,chain,control,7
607,35,36,354,chain,control,9
646,33,38,355,chain,control,9
673,44,45,356,chain,control,7
588,39,42,357,chain,control,13
574,41,46,358,chain,control,11
590,44,38,359,chain,control,8
633,44,41,360,chain,control,9
491,38,36,361,chain,control,7
575,39,48,362,chain,control,6
558,29,39,363,chain,control,7
529,32,39,364,chain,control,13
653,39,41,365,chain,control,10
631,45,40,366,chain,control,12
513,45,43,367,chain,control,7
693,39,35,368,chain,control,10
561,41,36,369,chain,control,14
618,37,40,370,chain,control,12
617,49,41,371,chain,control,14
564,38,28,372,chain,control,13
646,37,45,373,chain,control,14
621,43,46,374,chain,control,6
564,36,41,375,chain,control,12
499,31,43,376,chain,control,6
685,40,29,377,chain,control,10
614,40,52,378,chain,control,8
545,36,37,379,chain,control,7
522,32,33,380,chain,control,12
558,43,37,381,chain,control,8
585,36,43,382,chain,control,7
588,39,37,383,chain,control,14
483,30,38,384,chain,control,14
560,28,41,385,chain,control,14
561,40,35,386,chain,control,13
682,35,41,387,chain,control,9
600,36,51,388,chain,control,8
559,40,46,389,chain,control,9
584,39,41,390,chain,control,12
583,41,43,391,chain,control,9
533,35,30,392,chain,control,6
620,43,37,393,chain,control,10
554,37,43,394,chain,control,8
559,42,46,395,chain,control,9
632,43,39,396,chain,control,6
582,42,36,397,chain,control,10
632,53,38,398,chain,control,8
629,48,32,399,chain,control,6
632,35,41,400,chain,control,6
559,40,37,401,chain,control,14
608,39,46,402,chain,control,8
698,51,38,403,chain,control,9
707,46,49,404,chain,control,11
552,36,45,405,chain,control,14
670,39,45,406,chain,control,14
622,44,39,407,chain,control,8
669,35,38,408,chain,control,13
582,39,31,409,chain,control,6
607,43,38,410,chain,control,6
590,36,40,411,chain,control,12
648,36,36,412,chain,control,11
532,35,30,413,chain,control,12
611,43,42,414,chain,control,10
596,41,44,415,chain,control,13
563,43,36,416,chain,control,6
587,45,37,417,chain,control,6
628,42,42,418,chain,control,13
571,40,35,419,chain,control,8
577,40,33,420,chain,control,9
603,47,44,421,chain,control,13
581,41,40,422,chain,control,10
546,44,36,423,chain,control,8
598,45,45,424,chain,control,6
554,37,35,425,chain,control,6
625,43,41,426,chain,control,9
667,37,44,427,chain,control,7
638,33,44,428,chain,control,10
609,43,36,429,chain,control,14
636,49,37,430,chain,control,13
541,33,43,431,chain,control,10
550,32,44,432,chain,control,7
653,43,40,433,chain,control,9
605,36,41,434,chain,control,7
600,29,46,435,chain,control,7
516,34,31,436,chain,control,9
541,44,43,437,chain,control,14
651,39,46,438,chain,control,7
563,41,45,439,chain,control,9
629,44,46,440,chain,control,7
651,48,43,441,chain,control,12
578,30,37,442,chain,control,9
642,33,43,443,chain,control,12
515,43,36,444,chain,control,7
604,29,36,445,chain,control,7
613,40,36,446,chain,control,11
536,39,29,447,chain,control,6
506,29,41,448,chain,control,13
597,41,41,449,chain,control,13
687,45,46,450,chain,control,12
609,40,36,451,chain,control,13
549,41,34,452,chain,control,8
565,36,28,453,chain,control,7
572,39,30,454,chain,control,6
620,39,45,455,chain,control,12
600,32,33,456,chain,control,11
626,39,37,457,chain,control,9
575,37,38,458,chain,control,12
531,37,39,459,chain,control,6
685,37,43,460,chain,control,14
581,37,41,461,chain,control,14
582,48,43,462,chain,control,12
559,43,48,463,chain,control,9
555,42,43,464,chain,control,12
649,46,36,465,chain,control,7
585,38,46,466,chain,control,9
624,38,48,467,chain,control,9
518,30,31,468,chain,control,6
600,42,41,469,chain,control,12
614,41,50,470,chain,control,7
589,34,36,471,chain,control,11
602,42,43,472,chain,control,12
611,32,32,473,chain,control,13
613,50,43,474,chain,control,9
632,45,34,475,chain,control,8
720,41,41,476,chain,control,6
601,38,43,477,chain,control,13
585,39,45,478,chain,control,9
576,37,38,479,chain,control,13
563,39,37,480,chain,control,8
492,37,25,481,chain,control,6
575,35,38,482,chain,control,10
530,44,35,483,chain,control,12
541,37,38,484,chain,control,10
