id,y,region,usuario,antiguedad,genero
1,0,RegionA,Ligero,39.1332797,Mujer
2,0,RegionA,Ligero,42.87601333,Hombre
3,1,RegionA,Pesado,22.91793774,Hombre
4,1,RegionA,Ligero,38.51439663,Hombre
5,0,RegionC,Ligero,27.59876867,Mujer
6,1,RegionB,Pesado,50.53734905,Mujer
7,0,RegionB,Ligero,53.38788043,Hombre
8,0,RegionC,Pesado,28.68449175,Mujer
9,0,RegionA,Ligero,42.75913142,Hombre
10,0,RegionA,Ligero,31.0576994,Mujer
11,0,RegionB,Ligero,45.14483697,Hombre
12,0,RegionB,Ligero,28.86834847,Mujer
13,0,RegionA,Ligero,32.66557325,Hombre
14,1,RegionB,Pesado,22.99225315,Hombre
15,0,RegionC,Ligero,51.26896895,Mujer
16,0,RegionC,Ligero,36.50053262,Hombre
17,0,RegionC,Ligero,30.9857254,Hombre
18,0,RegionC,Pesado,42.69477058,Hombre
19,0,RegionB,Pesado,25.62451196,Hombre
20,0,RegionA,Ligero,51.38917344,Mujer
21,0,RegionC,Ligero,24.82471393,Mujer
22,1,RegionB,Ligero,36.75601566,Hombre
23,0,RegionA,Ligero,67.09016957,Hombre
24,0,RegionA,Ligero,29.90997159,Hombre
25,0,RegionC,Ligero,42.82288433,Mujer
26,0,RegionC,Ligero,55.67159233,Mujer
27,0,RegionA,Ligero,31.62782715,Mujer
28,0,RegionC,Ligero,25.66856287,Mujer
29,0,RegionB,Ligero,33.06019875,Hombre
30,1,RegionC,Ligero,38.06225656,Mujer
31,0,RegionA,Ligero,53.8425541,Mujer
32,1,RegionB,Pesado,37.87794429,Hombre
33,0,RegionB,Ligero,55.81108274,Mujer
34,0,RegionA,Ligero,43.97015534,Mujer
35,0,RegionC,Ligero,26.71390225,Hombre
36,1,RegionC,Ligero,51.8044226,Hombre
37,0,RegionA,Ligero,36.86903892,Mujer
38,0,RegionA,Ligero,32.10859063,Mujer
39,0,RegionC,Pesado,52.35251918,Hombre
40,1,RegionB,Ligero,21.53608498,Mujer
41,0,RegionA,Ligero,40.50911443,Hombre
42,0,RegionC,Ligero,29.92829778,Hombre
43,0,RegionA,Ligero,54.23758538,Hombre
44,0,RegionA,Pesado,38.88118619,Mujer
45,1,RegionB,Ligero,31.23825594,Hombre
46,1,RegionB,Pesado,50.08772322,Mujer
47,0,RegionB,Pesado,44.03684161,Hombre
48,0,RegionB,Ligero,36.74022941,Mujer
49,0,RegionB,Ligero,61.04033994,Hombre
50,1,RegionC,Ligero,54.24037592,Mujer
51,0,RegionA,Pesado,16.48421203,Mujer
52,1,RegionA,Ligero,32.87858284,Hombre
53,0,RegionB,Pesado,26.73588538,Mujer
54,1,RegionB,Ligero,20.36830457,Mujer
55,1,RegionA,Pesado,35.93382701,Hombre
56,0,RegionC,Pesado,46.45185188,Mujer
57,0,RegionA,Ligero,31.00966134,Mujer
58,0,RegionB,Ligero,33.30556038,Hombre
59,0,RegionC,Ligero,56.30418944,Mujer
60,0,RegionB,Ligero,35.35098272,Hombre
61,0,RegionA,Ligero,53.98434452,Hombre
62,1,RegionB,Ligero,64.94374056,Mujer
63,0,RegionA,Ligero,50.53421069,Mujer
64,0,RegionA,Ligero,35.29558442,Hombre
65,1,RegionA,Ligero,28.30159562,Hombre
66,0,RegionB,Ligero,27.34853496,Hombre
67,0,RegionA,Ligero,41.86330067,Hombre
68,1,RegionB,Pesado,21.85069098,Mujer
69,0,RegionC,Pesado,46.84704474,Mujer
70,0,RegionA,Pesado,29.73383159,Mujer
71,1,RegionA,Ligero,14.33362739,Mujer
72,0,RegionC,Ligero,29.66621801,Hombre
73,0,RegionC,Pesado,51.94885879,Mujer
74,1,RegionB,Ligero,29.87987718,Mujer
75,1,RegionB,Ligero,28.57841143,Hombre
